City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
402,Geraldton,AU,-28.7667,114.6,79.21,50,7,10.36,clear sky
403,Nuuk,GL,64.1835,-51.7216,8.2,77,20,6.98,few clouds
404,Hirara,JP,24.8,125.2833,69.1,66,99,13.73,overcast clouds
405,Venezuela,VE,8.0,-66.0,87.01,50,83,15.35,broken clouds
406,Ketchikan,US,55.3422,-131.6461,26.58,93,90,0.0,mist
407,Yerbogachen,RU,61.2767,108.0108,-9.58,98,100,5.21,overcast clouds
408,La Ronge,CA,55.1001,-105.2842,-16.35,69,75,3.44,light snow
409,Praia,CV,14.9215,-23.5087,82.94,51,0,11.5,clear sky
410,San Carlos De Bariloche,AR,-41.1456,-71.3082,71.35,26,0,9.22,clear sky
411,Ruthin,GB,53.1137,-3.3178,49.08,97,100,1.99,overcast clouds
412,Gdov,RU,58.7406,27.8122,19.17,85,100,9.93,overcast clouds
413,Maningrida,AU,-12.0667,134.2667,76.06,83,100,16.13,overcast clouds
414,Ahuimanu,US,21.4447,-157.8378,74.19,76,40,5.99,scattered clouds
415,Kaitong,CN,44.8135,123.15,-2.79,91,79,7.49,broken clouds
416,Kloulklubed,PW,7.0419,134.2556,81.1,80,100,17.54,overcast clouds
417,Reconquista,AR,-29.15,-59.65,100.85,13,74,8.05,broken clouds
418,Lashio,MM,22.9333,97.75,52.93,81,3,1.97,clear sky
419,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,94,75,41.74,broken clouds
420,Iguape,BR,-24.7081,-47.5553,76.68,81,66,3.83,light rain
421,Gueret,FR,46.1667,1.8667,50.63,96,100,10.51,light rain
422,Phalombe,MW,-15.8064,35.6507,80.69,55,82,5.84,broken clouds
423,San Borja,BO,-14.8167,-66.85,94.6,43,100,2.3,overcast clouds
424,Shingu,JP,33.7333,135.9833,37.9,79,37,5.99,scattered clouds
425,Carroll,US,39.5501,-77.0164,50.16,74,1,4.61,clear sky
426,Kargasok,RU,59.0556,80.8572,8.89,96,92,7.58,overcast clouds
427,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.79,80,90,9.22,overcast clouds
